буэнос-айрес,аргентина,буэнос-айрес	Buenos_Aires
кастрильо-де-ла-рейн,испания,кастрильо-де-ла-рейна	Castrillo_de_la_Reina
камподольчино,италия,камподольчино	Campodolcino
меллинген,швейцария,меллинген	Mellingen
ласина,город,польша,ласин	Łasin
камберленд,онтарио,,камберленд	Cumberland,_Ontario
матомидать,город,миннесота,соединять штат америка,сша,америка,матомидай	Mahtomedi,_Minnesota
махдия,город,тунис,махдия	Mahdia
касаррубиос-дель-монт,испания,касаррубиос-дель-монте	Casarrubios_del_Monte
кавальетто,италия,кавальетто	Cavaglietto
кашуэйр-ду-сул,бразилия,кашуэйра-ду-сул	Cachoeira_do_Sul
лешное,польша,лешно	Leszno
маруа,камерун,маруа	Maroua
кампофилон,италия,кампофилоне	Campofilone
лиссабон,португалия,лиссабон	Lisbon
кастельнуово-парать,италия,кастельнуово-парано	Castelnuovo_Parano
костшин-над-одрон,польша,костшин-над-одрон	Kostrzyn_nad_Odrą
казаско,италия,казаско	Casasco
кампильо-де-делейтос,испания,кампильо-де-делейтоса	Campillo_de_Deleitosa
монт,швейцария,швейцария,монте	Monthey
лустра,италия,лустра	Lustra,_Campania
кабаньяс-дель-кастильо,испания,кабаньяс-дель-кастильо	Cabañas_del_Castillo
лавание,италия,лаванья	Lavagna
каянелло,италия,каянелло	Caianello
ла-масо,испания,ла-масо	La_Masó
креккьо,италия,креккьо	Crecchio
карпение,италия,карпенья	Carpegna
личуань,,личуань	Lichuan,_Hubei
купино,,купино	Kupino
кросневица,польша,кросневице	Krośniewice
калестать,италия,калестано	Calestano
лауреан-чиленто,италия,лауреана-чиленто	Laureana_Cilento
коди,вайоминг,соединять штат америка,сша,америка,коди	Cody,_Wyoming
миссалья,италия,миссалья	Missaglia
калат,иран,иран,калат	Kalat,_Khorasan
кралик,чехия,кралики	Králíky
кастильо-де-локубин,испания,кастильо-де-локубин	Castillo_de_Locubín
кал,франция,кале	Calais
корридо,италия,корридо	Corrido,_Lombardy
медуно,италия,медуно	Meduno
лейквью,арканзас,соединять штат америка,сша,америка,лейквью	Lakeview,_Arkansas
луйего,испания,луйего	Luyego
кастельветер-ин-валя-фортор,италия,кастельветере-ин-валь-форторе	Castelvetere_in_Val_Fortore
лаганади,италия,лаганади	Laganadi
карро,италия,карро	Carro
мейер,город,миннесота,соединять штат америка,сша,америка,мейер	Mayer,_Minnesota
манхабалый,испания,манхабалаго	Manjabálago
мюллендорф,австрия,мюллендорф	Müllendorf
кимчхэк,корейский народно-демократический республика,кндр,северный корея,кимчхэк	Kimchaek
карери,италия,карери	Careri
лубуклингау,индонезия,лубуклингау	Lubuklinggau
лаббок,техас,,лаббок	Lubbock,_Texas
мегезайн,арканзас,соединять штат америка,сша,америка,мегезайн	Magazine,_Arkansas
лайос,испания,лайос	Layos
колонна,лацио,италия,колонна	Colonna,_Lazio
красный кут,россия,саратовский область,красный кут	Krasny_Kut,_Saratov_Oblast
миннетонка-бич,соединять штат америка,сша,америка,миннетонка-бич	Minnetonka_Beach,_Minnesota
монастерио-де-родилий,испания,монастерио-де-родилья	Monasterio_de_Rodilla
кальча,италия,кальчи	Calci
кастель-умберто,италия,кастель-умберто	Castell'Umberto
монтекьяро-д’акви,италия,монтекьяро-д’акви	Montechiaro_d'Acqui
казьер,италия,казьер	Casier
москаццано,италия,москаццано	Moscazzano
марьяно-коменс,италия,марьяно-коменсе	Mariano_Comense
магилья,испания,магилья	Maguilla
лесна,россия,свердловский область,лесной	Lesnoy,_Sverdlovsk_Oblast
лонгарон,италия,лонгароне	Longarone
мерсер,округ,иллинойс,соединять штат америка,сша,америка,мерсер	Mercer_County,_Illinois
кузино,италия,италия,кузино	Cusino
месджед-солейман,иран,месджеде-солейман	Masjed_Soleyman
кандело,италия,кандело	Candelo
муккендорф-випфинг,австрия,муккендорф-випфинг	Muckendorf-Wipfing
каданить,чехия,кадань	Kadaň
калич-лигур,италия,каличе-лигуре	Calice_Ligure
лаваньо,италия,лаваньо	Lavagno
милич,польша,милич	Milicz
миньяр,россия,челябинский область,миньяр	Minyar
корчить,,корча	Korçë
малберри,арканзас,соединять штат америка,сша,америка,малберри	Mulberry,_Arkansas
линд,город,миннесота,соединять штат америка,сша,америка,линд	Lynd,_Minnesota
котронея,италия,котронеи	Cotronei
манта,муниципалитет,италия,манта	Manta,_Piedmont
карачи,пакистан,карачи	Karachi
казамиччол-терм,италия,казамиччола-терме	Casamicciola_Terme
кастильон-д’интельви,италия,кастильоне-д’интельви	Castiglione_d'Intelvi
мереть-ди-томба,италия,мерето-ди-томба	Mereto_di_Tomba
мендзыжечи,польша,мендзыжеч	Międzyrzecz
кейро,джорджия,соединять штат америка,сша,америка,кейро	Cairo,_Georgia
мунд-нова,мат-грос-ду-сул,бразилия,мунду-нову	Mundo_Novo,_Mato_Grosso_do_Sul
карда,италия,карде	Cardè
килронан,ирландия,килронан	Kilronan
касуг,,касуга	Kasuga,_Fukuoka
кременец,украина,кременец	Kremenets
корвара,италия,корвара	Corvara,_Abruzzo
менло-парк,калифорния,соединять штат америка,сша,америка,менло-парк	Menlo_Park,_California
куксхафен,германия,куксхафен	Cuxhaven
казальнуово-монтеротаро,италия,казальнуово-монтеротаро	Casalnuovo_Monterotaro
краенка,польша,краенка	Krajenka
масан,,масан	Masan
кельма,литва,кельме	Kelmė
маниса,турция,маниса	Manisa
красныстав,польша,красныстав	Krasnystaw
канить,испания,канена	Canena
каррисо,испания,каррисо	Carrizo_de_la_Ribera
кастельона-де-ла-план,испания,кастельон-де-ла-плана	Castellón_de_la_Plana
лаледжин,иран,лаледжин	Lalejin
мусома,танзания,мусома	Musoma
марувуай,мадагаскар,марувуай	Marovoay
кальтенлойтгебен,австрия,кальтенлойтгебен	Kaltenleutgeben
карония,италия,карония	Caronia
калиццано,италия,калиццано	Calizzano
космоносить,чехия,космоноси	Kosmonosy
крослейк,город,миннесота,соединять штат америка,сша,америка,крослейк	Crosslake,_Minnesota
мендот-хайтс,город,миннесота,соединять штат америка,сша,америка,мендота-хайтс	Mendota_Heights,_Minnesota
летоград,чехия,летоград	Letohrad
кинтан-дель-пидио,испания,кинтана-дель-пидио	Quintana_del_Pidio
кьюз-ди-пезио,италия,кьюза-ди-пезио	Chiusa_di_Pesio
лузилья,италия,лузилье	Lusigliè
мишаня,китайский народный республика,китай,кнр,мишань	Mishan
мытищи,россия,московский область,мытищи	Mytishchi
кирс,россия,кировский область,кирс	Kirs,_Russia
монтемурро,италия,монтемурро	Montemurro
куворден,нидерланды,куворден	Coevorden
казвин,иран,казвин	Qazvin
мино,город,,мино	Mino,_Gifu
мучча,италия,мучча	Muccia
катовице,польша,катовице	Katowice
котовск,область,тамбовский область,россия,тамбовский область,котовск	Kotovsk,_Russia
казатин,,казатин	Koziatyn
кеннет,город,миннесота,соединять штат америка,сша,америка,кеннет	Kenneth,_Minnesota
моралеха-де-матакабрас,испания,моралеха-де-матакабрас	Moraleja_de_Matacabras
касеевица,чехия,касеёвице	Kasejovice
ланьчжоу,китайский народный республика,китай,кнр,ланьчжоу	Lanzhou
красный луч,город,украина,красный луч	Krasnyi_Luch
камполар,испания,камполара	Campolara
каммарат,италия,каммарата	Cammarata
коста-валль-имание,италия,коста-валле-иманья	Costa_Valle_Imagna
манакар,,манакара	Manakara
лузевер,италия,лузевера	Lusevera
монджан,италия,монджана	Mongiana
ласа-куэрлас,испания,лас-куэрлас	Las_Cuerlas
курахово,украина,курахово	Kurakhove
кьюзать-ди-сан-доменико,италия,кьюзано-ди-сан-доменико	Chiusano_di_San_Domenico
мелец,польша,мелец	Mielec
мариямполе,литва,мариямполе	Marijampolė
коламбий-хайтс,миннесота,соединять штат америка,сша,америка,коламбия-хайтс	Columbia_Heights,_Minnesota
медзанино,италия,медзанино	Mezzanino
кортеолон,италия,кортеолона	Corteolona
медолла,италия,медолла	Medolla
курник,город,польша,курник	Kórnik
любить,россия,ярославский область,любим	Lyubim
ковель,украина,ковель	Kovel
кампителло-ди-фасс,италия,кампителло-ди-фасса	Campitello_di_Fassa
лоскос,испания,лоскос	Loscos
канчипур,индия,канчипурам	Kanchipuram
казальромано,италия,казальромано	Casalromano
кранстон,род-айленд,соединять штат америка,сша,америка,кранстон	Cranston,_Rhode_Island
мерсрагс,,мерсрагс	Mērsrags
мугардос,испания,мугардос	Mugardos
краснодон,украина,краснодон	Krasnodon
линий,китайский народный республика,китай,кнр,линьи	Linyi
монтануй,испания,монтануй	Montanuy
кюснахт-ама-рига,швейцария,кюснахт-ам-риги	Küssnacht
кобылка,город,польша,кобылка	Kobyłka
марать-маркезатый,италия,марано-маркезато	Marano_Marchesato
миронсильо,испания,миронсильо	Mironcillo
капена,италия,капена	Capena
кастриньяно-дель-капо,италия,кастриньяно-дель-капо	Castrignano_del_Capo
кодайра,,кодайра	Kodaira,_Tokyo
мурхед,город,миннесота,соединять штат америка,сша,америка,мурхед	Moorhead,_Minnesota
кастельмарт,италия,кастельмарте	Castelmarte
монтальбать-йонико,италия,монтальбано-йонико	Montalbano_Jonico
карема,италия,карема	Carema
маростик,италия,маростика	Marostica
моррон-дель-саннио,италия,морроне-дель-саннио	Morrone_del_Sannio
кутна-гора,чехия,кутна-гора	Kutná_Hora
монти,сардиния,италия,монти	Monti,_Sardinia
кдине,чехия,кдине	Kdyně
мальяно-альфьери,италия,мальяно-альфьери	Magliano_Alfieri
лонсдейл,город,миннесота,,лонсдейл	Lonsdale,_Minnesota
матерый,италия,матера	Matera
кастарас,испания,кастарас	Cástaras
лея,коммуна,италия,леи	Lei,_Sardinia
лаишево,россия,татарстан,лаишево	Laishevo
кьомонт,италия,кьомонте	Chiomonte
колл-брианец,италия,колле-брианца	Colle_Brianza
мотт-камастра,италия,мотта-камастра	Motta_Camastra
кастель-витторио,италия,кастель-витторио	Castel_Vittorio
консельва,италия,консельве	Conselve
мариинский посад,россия,чувашия,мариинский посад	Mariinsky_Posad
монченизио,италия,монченизио	Moncenisio,_Piedmont
конкона,чили,конкон	Concón
киллибегс,,киллибегс	Killybegs
кэлэраш,румыния,кэлэраши	Călărași
коджа,республика корея,корея,южный корея,кодже	Geoje
лебедянь,россия,липецкий область,лебедянь	Lebedyan
лурас,италия,лурас	Luras
ком-омбо,египет,ком-омбо	Kom_Ombo
марема,бразилия,марема	Marema
каньяд-де-бенатандус,испания,каньяда-де-бенатандус	Cañada_de_Benatanduz
клирбрук,город,миннесота,соединять штат америка,сша,америка,клирбрук	Clearbrook,_Minnesota
камин-аль-тальяменто,италия,камино-аль-тальяменто	Camino_al_Tagliamento
келиман,мозамбик,келимане	Quelimane
лерич,италия,леричи	Lerici
карккила,,карккила	Karkkila
мангуалдить,,мангуалди	Mangualde
кальдерар-ди-рено,италия,кальдерара-ди-рено	Calderara_di_Reno
миттерндорф-ан-дер-фиша,австрия,миттерндорф-ан-дер-фиша	Mitterndorf_an_der_Fischa
лежать,город,,лежа	Lezhë
лонгон-аль-сегриный,италия,лонгоне-аль-сегрино	Longone_al_Segrino
караман,город,турция,караман	Karaman
каламоча,испания,каламоча	Calamocha
кастельфранча,италия,кастельфранчи	Castelfranci
кодронджанос,италия,кодронджанос	Codrongianos
кастеллетто-д’орб,италия,кастеллетто-д’орба	Castelletto_d'Orba
монторо-суперьора,италия,монторо-суперьоре	Montoro_Superiore
мильцано,италия,мильцано	Milzano
медзев,словакия,медзев	Medzev
карлайла,арканзас,соединять штат америка,сша,америка,карлайл	Carlisle,_Arkansas
камандукий,бразилия,камандукая	Camanducaia
красногорск,россия,московский область,красногорск	Krasnogorsk,_Moscow_Oblast
мармадьюк,арканзас,соединять штат америка,сша,америка,мармадьюк	Marmaduke,_Arkansas
лежайск,польша,лежайск	Leżajsk
кокимбо,город,чили,кокимбо	Coquimbo
мисти,турция,,мисти	Misthi,_Cappadocia
лейк-хавас-сити,соединять штат америка,сша,америка,лейк-хавасу-сити	Lake_Havasu_City,_Arizona
лидица,чехия,лидице	Lidice
ломанье,италия,ломанья	Lomagna
мэйхэкоу,китайский народный республика,китай,кнр,мэйхэкоу	Meihekou
касин,испания,касин	Cacín
кукмирна,австрия,кукмирн	Kukmirn
кроссетт,арканзас,соединять штат америка,сша,америка,кроссетт	Crossett,_Arkansas
луго-ди-виченец,италия,луго-ди-виченца	Lugo_di_Vicenza
мирославец,польша,мирославец	Mirosławiec
кигали,руанда,кигали	Kigali
майами-гарденс,соединять штат америка,сша,америка,майами-гарденс	Miami_Gardens,_Florida
монтебелло-ди-бертон,италия,монтебелло-ди-бертона	Montebello_di_Bertona
личенец,италия,личенца	Licenza
кувельо,италия,кувельо	Cuveglio
матино,италия,италия,матино	Matino
лэйян,,лэйян	Leiyang
каведаго,италия,каведаго	Cavedago
кассано-маньяго,италия,кассано-маньяго	Cassano_Magnago
кастеллан-гротт,италия,кастеллана-гротте	Castellana_Grotte
каламонач,италия,каламоначи	Calamonaci
мигдаля-ха-эмека,израиль,мигдаль-ха-эмек	Migdal_HaEmek
косьцежина,польша,косьцежина	Kościerzyna
казаледжо-бойро,италия,казаледжо-бойро	Casaleggio_Boiro
мейманд,иран,мейманд	Meymand
мехдишехр,иран,мехдишехр	Mehdishahr
красноуфимск,россия,свердловский область,красноуфимск	Krasnoufimsk
лимерик,город,ирландия,лимерик	Limerick
корбалан,испания,корбалан	Corbalán
менконико,италия,менконико	Menconico
линвуд,вашингтон,соединять штат америка,сша,америка,линвуд	Lynnwood,_Washington
лайнат,италия,лайнате	Lainate
малгобек,россия,малгобек	Malgobek
купанг,индонезия,купанг	Kupang
мальпик-де-тахо,испания,мальпика-де-тахо	Malpica_de_Tajo
кушинагар,индия,кушинагар	Kushinagar
лайбинь,,лайбинь	Laibin
ла-каньис,испания,ла-каньиса	A_Cañiza
каноза-саннит,италия,каноза-саннита	Canosa_Sannita
мезень,,мезень	Mezen
ласа-эренсьяс,испания,лас-эренсьяс	Las_Herencias
монтекрестезя,италия,монтекрестезе	Montecrestese
ла-алешар,испания,ла-алешар	L'Aleixar
коко-бич,флорида,соединять штат америка,сша,америка,коко-бич	Cocoa_Beach,_Florida
марчаль,испания,марчаль	Marchal,_Granada
лонгара,италия,лонгаре	Longare
карасбург,намибия,карасбург	Karasburg
куччаго,италия,куччаго	Cucciago
медеа,италия,медеа	Medea,_Friuli-Venezia_Giulia
лалибэла,эфиопия,лалибэла	Lalibela
мель,венето,италия,мель	Mel,_Veneto
камин,италия,камино	Camino,_Piedmont
микунь,россия,республика коми,коми,микунь	Mikun
кратово,город,македония,кратово	Kratovo,_Macedonia
моццагроний,италия,моццагронья	Mozzagrogna
лохья,,лохья	Lohja
корчула,хорватия,корчула	Korčula
майлен,швейцария,майлен	Meilen
кродо,город,италия,кродо	Crodo
корб,город,индия,корба	Korba,_Chhattisgarh
кальбуко,чили,кальбуко	Calbuco
мерго,италия,мерго	Mergo
марать-ди-вальполичелла,италия,марано-ди-вальполичелла	Marano_di_Valpolicella
лонсестон,тасмания,австралия,лонсестон	Launceston,_Tasmania
майами,соединять штат америка,сша,америка,майами	Miami
мурпарк,соединять штат америка,сша,америка,мурпарк	Moorpark,_California
лайян,китайский народный республика,китай,кнр,лайян	Laiyang
мерона,италия,мероне	Merone
михельдорф,австрия,верхний австрия,австрия,михельдорф	Micheldorf_in_Oberösterreich
ла-пуэбла-де-аргансон,испания,ла-пуэбла-де-аргансон	La_Puebla_de_Arganzón
какуда,япония,какуда	Kakuda,_Miyagi
местрин,италия,местрино	Mestrino
монно,италия,монно	Monno
каркеванд,иран,каркеванд	Karkevand
капрарик-ди-лечча,италия,капрарика-ди-лечче	Caprarica_di_Lecce
кейптаун,южно-африканский республика,юар,кейптаун	Cape_Town
кьянокко,италия,кьянокко	Chianocco
кимджа,республика корея,корея,южный корея,кимдже	Gimje
монджардино-лигур,италия,монджардино-лигуре	Mongiardino_Ligure
монтальдо-торинез,италия,монтальдо-торинезе	Montaldo_Torinese
марикин,чили,марикина	Mariquina,_Chile
кастельфьорентино,италия,кастельфьорентино	Castelfiorentino
касимов,россия,рязанский область,касимов	Kasimov
календаско,италия,календаско	Calendasco
купелло,италия,купелло	Cupello
лапьо,италия,лапьо	Lapio
каламата,греция,каламата	Kalamata
коминьяго,италия,коминьяго	Comignago
казалеккьо-ди-рено,италия,казалеккьо-ди-рено	Casalecchio_di_Reno
мицукэ,япония,мицукэ	Mitsuke,_Niigata
кастельвеккьо-кальвизио,италия,кастельвеккьо-кальвизио	Castelvecchio_Calvisio
кадеш,,кадеш	Kadesh
капрун,австрия,капрун	Kaprun
манаур-балькон-дель-сесар,колумбия,манауре-балькон-дель-сесар	Manaure,_Cesar
кастельмасса,италия,кастельмасса	Castelmassa
кастельфранко-ин-мискать,италия,кастельфранко-ин-мискано	Castelfranco_in_Miscano
маммол,италия,маммола	Mammola
могоча,россия,забайкальский край,могоча	Mogocha
комерио,италия,комерио	Comerio
майноты,дакота,северный дакота,соединять штат америка,сша,америка,майнот	Minot,_North_Dakota
мендатик,италия,мендатика	Mendatica
мохенджо-даро,,мохенджо-даро	Mohenjo-daro
лали,хузестан,иран,лали	Lali,_Iran
лампоро,италия,лампоро	Lamporo
монтепарать,италия,монтепарано	Monteparano
нейплс,соединять штат америка,сша,америка,нейплс	Naples,_Florida
новый-роля,чехия,нова-роле	Nová_Role
претория,южно-африканский республика,юар,претория	Pretoria
пандино,италия,пандино	Pandino
порт-ройал,ямайка,порт-ройал	Port_Royal
орхангази,турция,орхангази	Orhangazi
норвуд-янг-америка,город,миннесота,соединять штат америка,сша,америка,норвуд-янг-америка	Norwood_Young_America,_Minnesota
пьедикавалло,италия,пьедикавалло	Piedicavallo
оливери,италия,оливери	Oliveri
помаранч,италия,помаранче	Pomarance
оршов,,оршова	Orșova
острый,область,черниговский область,украина,остёр	Oster
отакэ,хиросима,,отакэ	Ōtake,_Hiroshima
новогрудый,польша,новогруд	Nowogród
пульянелло,город,италия,пульянелло	Puglianello
паратико,италия,паратико	Paratico
новотираспольский,,новотираспольский	Tiraspolul_Nou
олни,техас,соединять штат америка,сша,америка,олни	Olney,_Texas
пьетраферраццан,италия,пьетраферраццана	Pietraferrazzana
палаццо-пиньяно,италия,палаццо-пиньяно	Palazzo_Pignano
оберндорф-ан-дер-мельк,австрия,оберндорф-ан-дер-мельк	Oberndorf_an_der_Melk
першотравенск,область,днепропетровский область,украина,першотравенск	Pershotravensk
пакрац,хорватия,пакрац	Pakrac
пачкув,польша,пачкув	Paczków
поццуоло-мартезан,италия,поццуоло-мартезана	Pozzuolo_Martesana
оротелль,италия,оротелли	Orotelli
пойо,,пойо	Poio
порто-сан-джорджо,италия,порто-сан-джорджо	Porto_San_Giorgio
пиментель,италия,пиментель	Pimentel,_Sardinia
ногар,италия,ногара	Nogara
путифигарь,италия,путифигари	Putifigari
печетто-торинез,италия,печетто-торинезе	Pecetto_Torinese
пакруойис,литва,пакруойис	Pakruojis
норртелье,швеция,норртелье	Norrtälje
нижний тагил,россия,свердловский область,нижний тагил	Nizhny_Tagil
палисейд,город,миннесота,соединять штат америка,сша,америка,палисейд	Palisade,_Minnesota
нантан,,нантан	Nantan,_Kyoto
понтольо,италия,понтольо	Pontoglio
пеллегриный-парменс,италия,пеллегрино-парменсе	Pellegrino_Parmense
найнитать,индия,найнитал	Nainital
пангберн,арканзас,соединять штат америка,сша,америка,пангберн	Pangburn,_Arkansas
оллолай,италия,оллолаи	Ollolai
пьятр-нямц,румыния,пьятра-нямц	Piatra_Neamț
нурмес,,нурмес	Nurmes
павон-канавез,италия,павоне-канавезе	Pavone_Canavese
пелаустан,испания,пелаустан	Pelahustán
пудасъярви,финляндия,пудасъярви	Pudasjärvi
нек,иран,нека	Neka
озилья,италия,озилья	Osiglia
педрос-де-ла-вега,испания,педроса-де-ла-вега	Pedrosa_de_la_Vega
посуэль-де-ариса,испания,посуэль-де-ариса	Pozuel_de_Ariza
предза,италия,предза	Prezza,_Abruzzo
никотер,италия,никотера	Nicotera
полярный,россия,мурманский область,полярный	Polyarny,_Murmansk_Oblast
озидда,италия,озидда	Osidda
пургшталль-ан-дер-эрлауф,австрия,пургшталль-ан-дер-эрлауф	Purgstall_an_der_Erlauf
нойштифт-ан-дер-лафниц,австрия,нойштифт-ан-дер-лафниц	Neustift_an_der_Lafnitz
парк-ридж,иллинойс,,парк-ридж	Park_Ridge,_Illinois
парелл,италия,парелла	Parella
огденный,юта,соединять штат америка,сша,америка,огден	Ogden,_Utah
петторать-суль-джицио,италия,петторано-суль-джицио	Pettorano_sul_Gizio
навада,индия,навада	Nawada
новохоперск,россия,воронежский область,новохопёрск	Novokhopyorsk
пуннатхуркотт,индия,пуннатхуркотта	Punnathurkotta
пеквота-лейкс,город,миннесота,соединять штат америка,сша,америка,пеквот-лейкс	Pequot_Lakes,_Minnesota
ньюпорт-ньюс,соединять штат америка,сша,америка,ньюпорт-ньюс	Newport_News,_Virginia
пушкар,индия,пушкар	Pushkar
новафельтрие,италия,новафельтрия	Novafeltria
нова-место-под-смркем,чехия,нове-место-под-смркем	Nové_Město_pod_Smrkem
поликоро,италия,поликоро	Policoro
пьево-торин,италия,пьеве-торина	Pieve_Torina
поджо-империал,италия,поджо-империале	Poggio_Imperiale
онье,испания,онья	Oña
нурагус,италия,нурагус	Nuragus
озерный,область,тверская область,россия,озёрный	Ozyorny,_Tver_Oblast
пабьяница,польша,пабьянице	Pabianice
обанадзав,япония,обанадзава	Obanazawa,_Yamagata
пальманова,италия,пальманова	Palmanova
парабит,италия,парабита	Parabita
педар,италия,педара	Pedara
падронести-де-буреб,испания,падронес-де-буреба	Padrones_de_Bureba
поттенштайн,австрия,нижний австрия,австрия,поттенштайн	Pottenstein,_Austria
паломеро,испания,паломеро	Palomero
педавен,италия,педавена	Pedavena
приморско-ахтарск,россия,краснодарский край,приморско-ахтарск	Primorsko-Akhtarsk
орриос,испания,орриос	Orrios
нуэво-прогресо,тамаулипас,,нуэво-прогресо	Nuevo_Progreso,_Nuevo_Laredo,_Tamaulipas
польверар,италия,польверара	Polverara
прат-саннит,италия,прата-саннита	Prata_Sannita
отмухув,польша,отмухув	Otmuchów
понтевико,италия,понтевико	Pontevico
паскагул,миссисипи,соединять штат америка,сша,америка,паскагула	Pascagoula,_Mississippi
нейдек,чехия,нейдек	Nejdek
пессинетто,италия,пессинетто	Pessinetto
прата-ди-порденон,италия,прата-ди-порденоне	Prata_di_Pordenone
нова-мястый-над-пилицон,польша,нове-място-над-пилицон	Nowe_Miasto_nad_Pilicą
нижнекамск,россия,татарстан,нижнекамск	Nizhnekamsk
нисей,,нисея	Nisaea
наукоград,россия,рф,наукоград	Naukograd
навардун,испания,навардун	Navardún
портильол,италия,портильола	Portigliola
поджардо,италия,поджардо	Poggiardo
пханмунджом,корейский народно-демократический республика,кндр,северный корея,пханмунджом	Panmunjom
орес,испания,орес	Orés
прошовице,польша,прошовице	Proszowice
пьобези-торинез,италия,пьобези-торинезе	Piobesi_Torinese
пералес-дель-пуэрто,испания,пералес-дель-пуэрто	Perales_del_Puerto
палатка,флорида,соединять штат америка,сша,америка,палатка	Palatka,_Florida
нулато,аляска,,нулато	Nulato,_Alaska
нягань,россия,нягань	Nyagan
наварредондилья,испания,наварредондилья	Navarredondilla
пясок,город,польша,пяски	Piaski
пульсано,италия,пульсано	Pulsano
озный,италия,ознаго	Osnago
никич,австрия,никич	Nikitsch
одолевать-вода,чехия,одолена-вода	Odolena_Voda
онгудай,,онгудай	Onguday
покровск,якутия,россия,якутия,покровск	Pokrovsk,_Sakha_Republic
пастрис,испания,пастрис	Pastriz
перо,муниципалитет,италия,перо	Pero,_Lombardy
нуэво-ларедо,мексика,нуэво-ларедо	Nuevo_Laredo
пельгржим,,пельгржимов	Pelhřimov
прозерпио,италия,прозерпио	Proserpio
патернион,австрия,патернион	Paternion
нью-мьюник,город,миннесота,соединять штат америка,сша,америка,нью-мьюник	New_Munich,_Minnesota
оскарсхамна,швеция,оскарсхамн	Oskarshamn
повильо,италия,повильо	Poviglio
оточац,хорватия,оточац	Otočac
ормеа,италия,ормеа	Ormea
прайтеньги,австрия,прайтенег	Preitenegg
олешица,польша,олешице	Oleszyce
путраджай,малайзия,путраджая	Putrajaya
партизанск,россия,приморский край,партизанск	Partizansk
нью-тихорь,индия,нью-тихри	Tehri
новгород-северский,украина,новгород-северский	Novhorod-Siverskyi
порт-о-пренс,республика гаити,порт-о-пренс	Port-au-Prince
навасепедилья-де-корнех,испания,навасепедилья-де-корнеха	Navacepedilla_de_Corneja
наина,иран,наин	Nain,_Iran
несполый,италия,несполо	Nespolo
пелый,италия,пелаго	Pelago
плавск,россия,тульский область,плавск	Plavsk
намиба,город,ангола,намибе	Namibe
панеттьери,италия,панеттьери	Panettieri
пьево-альбиньола,италия,пьеве-альбиньола	Pieve_Albignola
нюрба,россия,якутия,нюрба	Nyurba
нагпур,индия,нагпур	Nagpur
нахичевань-на-дон,,нахичевань-на-дону	Nakhichevan-on-Don
пемброк-пайнс,соединять штат америка,сша,америка,пемброк-пайнс	Pembroke_Pines,_Florida
орсар-ди-пул,италия,орсара-ди-пулья	Orsara_di_Puglia
праскорсано,италия,праскорсано	Prascorsano
орбанех-риопико,испания,орбанеха-риопико	Orbaneja_Riopico
паргелий,италия,паргелия	Parghelia
нисиномия,япония,нисиномия	Nishinomiya
паксан,лаос,паксан	Pakxan
педрер,испания,педрера	Pedrera,_Seville
пьеа,италия,пьеа	Piea
пальмас-арбореа,италия,пальмас-арбореа	Palmas_Arborea
озоркув,польша,озоркув	Ozorków
офен,италия,офена	Ofena
новополоцк,белоруссия,новополоцк	Navapolatsk
пос-де-ла-вега,испания,поса-де-ла-вега	Poza_de_la_Vega
пабраде,литва,пабраде	Pabradė
пасым,польша,пасым	Pasym
норт-сент-пол,город,миннесота,соединять штат америка,сша,америка,норт-сент-пол	North_St._Paul,_Minnesota
посо-алькон,испания,посо-алькон	Pozo_Alcón
педро-родригес,испания,педро-родригес	Pedro-Rodríguez
пир,австрия,нижний австрия,австрия,пира	Pyhra
побласьон-де-серрато,испания,побласьон-де-серрато	Población_de_Cerrato
плоага,италия,плоаге	Ploaghe
песко-саннит,италия,песко-саннита	Pesco_Sannita
омиш,хорватия,омиш	Omiš
порт-блэр,индия,порт-блэр	Port_Blair
полис,кипр,республика кипр,полис	Polis,_Cyprus
пфаффеншлаг-бай-вайдхофен-ан-дер-тайя,австрия,пфаффеншлаг-бай-вайдхофен-ан-дер-тайя	Pfaffenschlag_bei_Waidhofen
пирр,дакота,южный дакота,соединять штат америка,сша,америка,пирр	Pierre,_South_Dakota
олива-де-пласенсия,испания,олива-де-пласенсия	Oliva_de_Plasencia
новомосковск,область,тульский область,россия,тульский область,новомосковск	Novomoskovsk,_Russia
оватонна,город,миннесота,,оватонна	Owatonna,_Minnesota
премозелло-кьовенд,италия,премозелло-кьовенда	Premosello-Chiovenda
пулава,польша,пулавы	Puławy
приньяно-чиленто,италия,приньяно-чиленто	Prignano_Cilento
нураллао,италия,нураллао	Nurallao
пинья,италия,италия,пинья	Pigna,_Liguria
палаццоло-делло-стелла,италия,палаццоло-делло-стелла	Palazzolo_dello_Stella
ниско,польша,ниско	Nisko
премия,город,италия,премия	Premia
ос-де-хак,испания,ос-де-хака	Hoz_de_Jaca
пейнсвилл,город,миннесота,соединять штат америка,сша,америка,пейнсвилл	Paynesville,_Minnesota
пьетраббонданте,италия,пьетраббонданте	Pietrabbondante
ошогбо,нигерия,ошогбо	Osogbo
осех,испания,осеха	Oseja
пенхамо,мексика,пенхамо	Pénjamo
побежовице,чехия,побежовице	Poběžovice
орино,италия,орино	Orino,_Lombardy
пельо,пезаро-э-урбина,италия,пельо	Peglio,_Marche
нью-брайтон,город,миннесота,соединять штат америка,сша,америка,нью-брайтон	New_Brighton,_Minnesota
