ольба,испания,Ольба	Olba,_Aragon
орфген,германия,коммуна,Орфген	Orfgen
орешино,болгария,село,Орешино	Oreshino
обуховский район,украина,Обуховский район	Obukhiv_Raion
оах,соединять штат америка,Оаху	Oahu
остроботний,финляндия,провинция,город,Остроботния 	Ostrobothnia_(region)
ордизан,франция,коммуна,Ордизан	Ordizan
остров октябрьский революция,россия,Остров Октябрьской Революции	October_Revolution_Island
оттенхофен,германия,коммуна,Оттенхофен	Ottenhofen
одринци,болгария,село,хасковский область,Одринци 	Odrintsi,_Haskovo_Province
оринья-ле-сечь,франция,коммуна,Ориньи-ле-Сек	Origny-le-Sec
охос-негрос,испания,муниципалитет,Охос-Негрос	Ojos_Negros,_Teruel
орьоль,франция,коммуна,Орьоль	Oriolles
оберуккерз,германия,коммуна,Оберуккерзе	Oberuckersee
овчарь,болгария,село,Овчари	Ovchari
окотепек,мексика,муниципалитет,муниципалитет чьяпас,Окотепек 	Ocotepec,_Chiapas
ольшанский район,украина,посёлок,Ольшанский район	Vilshanka_Raion
орнезон,франция,коммуна,Орнезон	Ornaisons
оливейра-ди-аземейши,португалия,город,Оливейра-ди-Аземейш	Oliveira_de_Azeméis,_Santiago_de_Riba-Ul,_Ul,_Macinhata_da_Seixa_e_Madail
обинья-ла-ронс,франция,коммуна,Обиньи-ла-Ронс	Aubigny-la-Ronce
орор,соединять штат америка,город,колорадо,Орора 	Aurora,_Colorado
осумасинт,мексика,Осумасинта	Osumacinta
орт-сан-джулио,италия,коммуна,Орта-Сан-Джулио	Orta_San_Giulio
орлянин,болгария,село,Орляне	Orlyane
обиньоск,франция,коммуна,Обиньоск	Aubignosc
обердорф,швейцария,коммуна,золотурн,Обердорф 	Oberdorf,_Solothurn
одер-шпра,германия,район,Одер-Шпре 	Oder-Spree
онтиньен,испания,Онтиньена	Ontiñena
орейан,франция,верхний пиренеи,коммуна,Орейан 	Aureilhan,_Hautes-Pyrénées
острув-любельский,польша,гмина,Острув-Любельский 	Gmina_Ostrów_Lubelski
оберкремер,германия,коммуна,Оберкремер	Oberkrämer
обантон,франция,коммуна,Обантон	Aubenton
оберрида,германия,коммуна,брайсгау,Оберрид 	Oberried,_Baden-Württemberg
оберпуллендорф,австрия,округ,Оберпуллендорф 	Oberpullendorf_District
орда,турция,город,Орду	Ordu
ойо-де-мансанарес,испания,город,Ойо-де-Мансанарес	Hoyo_de_Manzanares
орьон-идерн,франция,коммуна,Орьон-Идерн	Aurions-Idernes
орукун,австралия,община,Орукун	Aurukun,_Queensland
отырарский район,казахстан,район,Отырарский район	Otyrar_District
орос,россия,Оросу	Orosu
орч,испания,населённый пункт,Орче	Horche
ока-парк-хайтс,соединять штат америка,город,миннесота,Ок-Парк-Хайтс 	Oak_Park_Heights,_Minnesota
ольсберг,германия,город,Ольсберг	Olsberg,_Germany
ожиш,польша,гмина,Ожиш 	Gmina_Orzysz
онья,франция,коммуна,Оньи	Augny
орьенте,испания,район,комарка,Орьенте 	Oriente_(comarca)
ольхонский район,россия,Ольхонский район	Olkhonsky_District
ога,япония,город,Ога	Oga,_Akita
осана,республика корея,город,Осан	Osan
ойербах,германия,город  германия,коммуна,Ойербах 	Euerbach
олес-де-бонесвальс,испания,Олеса-де-Бонесвальс	Olesa_de_Bonesvalls
облучье,россия,город,Облучье	Obluchye,_Jewish_Autonomous_Oblast
очерский район,россия,город,Очёрский район	Ochyorsky_District
ондон-де-ласа-ньевес,испания,Ондон-де-лас-Ньевес	El_Fondó_de_les_Neus
оттерберн,великобритания,Оттерберн	Otterburn,_Northumberland
обернберг-на-инн,австрия,Обернберг-на-Инне	Obernberg_am_Inn
оттать,италия,коммуна,Оттати	Ottati
обербромб,германия,коммуна,Обербромбах	Oberbrombach
ольми-каппелл,франция,коммуна,Ольми-Каппелла	Olmi-Cappella
оборнячить,сербия,село,община ад,Оборняча 	Obornjača_(Ada)
оборнячить,сербия,община бачок-топол,населённый пункт,Оборняча 	Obornjača_(Bačka_Topola)
ойбин,германия,коммуна,Ойбин	Oybin
ойльгем,германия,коммуна,Ойльгем	Eulgem
орегон,соединять штат америка,Орегон	Oregon
обьета,франция,коммуна,Обьет	Aubiet
осеол,соединять штат америка,округ,флорида,Осеола 	Osceola_County,_Florida
ояма,япония,поселок,Ояма 	Oyama,_Shizuoka
орешень,болгария,село,ловечский область,Орешене 	Oreshene,_Lovech_Province
остров пасха,чили,остров,Остров Пасхи	Easter_Island
обуэ,франция,коммуна,Обуэ	Auboué
отрить,франция,жер,коммуна,Отрив 	Auterive,_Gers
оспедалетто-д’альпиноло,италия,коммуна,Оспедалетто-д’Альпиноло	Ospedaletto_d'Alpinolo
ото-ан-ож,франция,коммуна,Ото-ан-Ож	Hotot-en-Auge
оберзибенбрунн,австрия,Оберзибенбрунн	Obersiebenbrunn
ординариат румыния,румыния,Ординариат Румынии	Ordinariate_for_Catholics_of_Armenian_Rite_in_Romania
оруский-де-тахунья,испания,Оруско-де-Тахунья	Orusco_de_Tajuña
орт-новый,италия,коммуна,Орта-Нова	Orta_Nova
орать-верди-ду-уэсти,бразилия,муниципалитет,Ору-Верди-ду-Уэсти	Ouro_Verde_do_Oeste
орать-прет,бразилия,город,Ору-Прету	Ouro_Preto
оссаки-вадаль,франция,коммуна,Оссак-Вадаль	Aussac-Vadalle
орнильос-дель-камин,испания,Орнильос-дель-Камино	Hornillos_del_Camino
охать,соединять штат америка,город,Охай	Ojai,_California
оловяннинский район,россия,посёлок,Оловяннинский район	Olovyanninsky_District
оррьюль,франция,коммуна,Оррьюль	Orriule
о-плато,камерун,департамент,О-Плато 	Hauts-Plateaux
огробец,чехия,община,Огробец	Ohrobec
ольфен,германия,город,Ольфен	Olfen
острава,чехия,город,Острава	Ostrava
оберарнбах,германия,коммуна,Оберарнбах	Oberarnbach
октябрьский район,россия,амурский область,Октябрьский район 	Oktyabrsky_District,_Amur_Oblast
обербергиш,германия,район,Обербергиш 	Oberbergischer_Kreis
орьяк,франция,коммуна,ода,Орьяк 	Auriac,_Aude
ольсдорф,австрия,верхний австрия,коммуна,Ольсдорф 	Ohlsdorf
октябрьский,россия,посёлок,волгоградский область,октябрьский район,Октябрьский 	Oktyabrsky,_Oktyabrsky_District,_Volgograd_Oblast
отрадный,украина,запорожский район,Отрадное 	Vidradne,_Zaporizhia_Raion
остфильдерн,германия,город,Остфильдерн	Ostfildern
оберндорф,германия,коммуна,пфальц,Оберндорф 	Oberndorf,_Rhineland-Palatinate
орикола,италия,коммуна,Орикола	Oricola
олбануть,соединять штат америка,нью-йорк,город,Олбани 	Albany,_New_York
остеррад,германия,коммуна,Остерраде	Osterrade
оггау-ама-нойзидлер-зе,австрия,Оггау-ам-Нойзидлер-Зе	Oggau_am_Neusiedler_See
оленегорск,россия,город,Оленегорск	Olenegorsk,_Murmansk_Oblast
останкинский район,россия,Останкинский район	Ostankinsky_District
остров,украина,бусский район,село,Остров 	Ostriv,_Busk_Raion
опан,болгария,община,Опан 	Opan_Municipality
остельсхайм,германия,коммуна,Остельсхайм	Ostelsheim
олдензал,нидерланды,город,Олдензал	Oldenzaal
орлеан,канада,онтарио,Орлеан 	Orleans,_Ontario
обок,джибути,регион,Обок 	Obock_Region
обертойринген,германия,коммуна,Обертойринген	Oberteuringen
олкорн,соединять штат америка,миссисипи,округ,Олкорн 	Alcorn_County,_Mississippi
орт-ди-ателла,италия,город,Орта-ди-Ателла	Orta_di_Atella
от-виньель,франция,коммуна,От-Виньёль	Haute-Vigneulles
обернбург-ама-майн,германия,город,Обернбург-ам-Майн	Obernburg
осси,италия,коммуна,Осси	Ossi,_Sardinia
оберайх,австрия,Оберайх	Oberaich
ончина,италия,коммуна,Ончино	Oncino
оберзехеринг,германия,коммуна,Оберзёхеринг	Obersöchering
оидзуми,япония,посёлок,Оидзуми	Ōizumi,_Gunma
ордунья,испания,город,Ордунья	Orduña-Urduña
остель,германия,коммуна,германия,Остель 	Osteel
октябрьский,белоруссия,гомельский область,Октябрьский 	Akciabrski
ойратсфельд,австрия,Ойратсфельд	Euratsfeld
опфикон,швейцария,город,Опфикон	Opfikon
орсоя,болгария,село,Орсоя	Orsoya
оберхаг,австрия,коммуна,Оберхаг	Oberhaag
олай,колумбия,город,Олая	Olaya,_Antioquia
ордос,китайский народный республика,городской округ,Ордос 	Ordos_City
олимпиу-нороний,бразилия,Олимпиу-Норонья	Olímpio_Noronha
ортигос-дель-монт,испания,Ортигоса-дель-Монте	Ortigosa_del_Monte
охтмерслебен,германия,коммуна,Охтмерслебен	Ochtmersleben
ослип,австрия,коммуна,Ослип	Oslip
озмат,италия,коммуна,Озмате	Osmate
обердинг,германия,коммуна,Обердинг	Oberding
ойо,нигерия,город,штат,Ойо 	Oyo_State
оленинский район,россия,Оленинский район	Oleninsky_District
оркахуэло-де-ла-сьерра,испания,муниципалитет,Оркахуэло-де-ла-Сьерра	Horcajuelo_de_la_Sierra
олон,франция,верхний пиренеи,коммуна,Олон 	Aulon,_Hautes-Pyrénées
обжицкий,польша,Обжицко	Obrzycko
огавар,япония,посёлок,Огавара	Ōgawara,_Miyagi
оверэйсседать,нидерланды,провинция,Оверэйссел	Overijssel
оливейра-ди-фатима,бразилия,Оливейра-ди-Фатима	Oliveira_de_Fátima
оспедалетто-эуганео,италия,коммуна,Оспедалетто-Эуганео	Ospedaletto_Euganeo
оммен,нидерланды,община,Оммен	Ommen
обяляй,литва,город,Обяляй	Obeliai
одесский район,россия,село,Одесский район	Odessky_District
оберау,германия,коммуна,Оберау	Oberau
озаринец,украина,село,Озаринцы	Ozaryntsi
оливез,франция,коммуна,Оливезе	Olivese
орор,соединять штат америка,город,миннесота,Орора 	Aurora,_Minnesota
оренвиль,франция,коммуна,Оренвиль	Orainville
оберштауфен,германия,коммуна,Оберштауфен	Oberstaufen
оледжо,италия,коммуна,Оледжо	Oleggio
оберлин,соединять штат америка,город,Оберлин	Oberlin,_Ohio
окинский район,россия,село,Окинский район	Okinsky_District
олбануть,соединять штат америка,округ,вайоминг,Олбани 	Albany_County,_Wyoming
остерби,германия,коммуна,рендсбург-эккернферде,Остерби 	Osterby,_Rendsburg-Eckernförde
оскири,италия,коммуна,Оскири	Oschiri
ортипорио,франция,коммуна,Ортипорио	Ortiporio
оттенталь,австрия,коммуна,Оттенталь	Ottenthal
оммерея,франция,коммуна,Оммереи	Ommeray
осеново,болгария,благоевградский область,Осеново 	Osenovo,_Blagoevgrad_Province
ожевиллер,франция,коммуна,Ожевиллер	Ogéviller
о’брайен,соединять штат америка,округ,айова,О’Брайен 	O'Brien_County,_Iowa
окиносить,япония,Окиносима	Okinoshima,_Shimane
олд-кроу,канада,населённый пункт,Олд-Кроу	Old_Crow,_Yukon
осентехо,испания,Осентехо	Ocentejo
орать-ан-ратья,франция,коммуна,Ори-ан-Ратье	Oris-en-Rattier
обервайс,германия,коммуна,Обервайс	Oberweis,_Germany
обель,бельгия,коммуна,Обель	Aubel
оксфорд,соединять штат америка,округ,мэн,Оксфорд 	Oxford_County,_Maine
олецкий,польша,город,Олецко	Olecko
осон,франция,коммуна,округ тулуза,Осон 	Aussonne
острув-любельский,польша,город,Острув-Любельский	Ostrów_Lubelski
острамондра,германия,коммуна,Острамондра	Ostramondra
охлювец,болгария,село,Охлювец	Ohlyuvets
обинья,франция,коммуна,Обинья	Aubignas
оберпфраммерн,германия,община,Оберпфраммерн	Oberpframmern
овинген,германия,коммуна,Овинген	Owingen
осен,франция,коммуна,Осен 	Ausseing
орвиль,франция,коммуна,эндр,Орвиль 	Orville,_Indre
оттербах,германия,коммуна,рейнланд-пфальц,Оттербах 	Otterbach
оберлашайд,германия,коммуна,Оберлашайд	Oberlascheid
орньяк-сюр-везер,франция,коммуна,Орньяк-сюр-Везер	Orgnac-sur-Vézère
онифери,италия,коммуна,Онифери	Oniferi
оппин,германия,деревня,Оппин	Oppin
охтруп,германия,город,Охтруп	Ochtrup
огродзенец,польша,гмина,Огродзенец 	Gmina_Ogrodzieniec
оришимин,бразилия,муниципалитет,Оришимина	Oriximiná
оштав,болгария,село,Оштава	Oshtava
обергебра,германия,посёлок,Обергебра	Obergebra
ориндж-уолк,белиз,округ,город,Ориндж-Уолк 	Orange_Walk_District
опи,италия,коммуна,Опи	Opi,_Abruzzo
озанс-монтестрюк,франция,коммуна,Озанс-Монтестрюк	Ozenx-Montestrucq
ольбендорф,австрия,коммуна,Ольбендорф	Olbendorf
оксана,франция,коммуна,Оксан	Auxant
острый-ветер,италия,коммуна,Остра-Ветере	Ostra_Vetere
окра,италия,коммуна,Окре	Ocre
одо,франция,коммуна,Одо 	Audaux
ольдислебен,германия,коммуна,Ольдислебен	Oldisleben
оберрота,германия,коммуна,баден-вюртемберг,Оберрот 	Oberrot
огилви,соединять штат америка,город,миннесота,Огилви 	Ogilvie,_Minnesota
ожарув,польша,Ожарув	Ożarów
окс-дюрес,франция,коммуна,Оксе-Дюрес	Auxey-Duresses
осос,франция,коммуна,Осос	Aussos
остшешувский повенок,польша,город,Остшешувский повят	Ostrzeszów_County
овиндоль,италия,коммуна,Овиндоли	Ovindoli
о,франция,коммуна,атлантический пиренеи,О 	Haux,_Pyrénées-Atlantiques
опылченский,болгария,село,Опылченско	Opulchensko
оспиталь-ди-кадор,италия,коммуна,Оспитале-ди-Кадоре	Ospitale_di_Cadore
ос-де-балагер,испания,Ос-де-Балагер	Os_de_Balaguer
о’брайенсбридж,ирландия,деревня,О’Брайенсбридж	O'Brien's_Bridge
обиньян,франция,коммуна,Обиньян	Aubignan
оро,папуа — новый гвинея,провинция,Оро 	Oro_Province
отреп,франция,коммуна,Отреп	Autreppes
оля-э-ренод,франция,коммуна,Оль-э-Ренод	Ols-et-Rinhodes
орибо,франция,коммуна,Орибо	Auribeau
овалье,чили,город,Овалье	Ovalle
орн,франция,коммуна,Орне	Ornex
осакаровский район,казахстан,посёлок,Осакаровский район	Osakarov_District
остроэ,германия,коммуна,Остроэ	Ostrohe
орт,италия,коммуна,Орте	Orte
олесницкий повенок,польша,город,Олесницкий повят	Oleśnica_County
оберхамб,германия,коммуна,Оберхамбах	Oberhambach
оберриксинген,германия,город,Оберриксинген	Oberriexingen
ораньестад,нидерланды,синт-эстатиус,Ораньестад 	Oranjestad,_Sint_Eustatius
оберреттенбах,австрия,коммуна,Оберреттенбах	Oberrettenbach
обердорф,австрия,бургенланд,коммуна,Обердорф 	Oberdorf_im_Burgenland
они,германия,коммуна,германия,Оне 	Ohne
ориндж,соединять штат америка,калифорния,город,Ориндж 	Orange,_California
осеол,соединять штат америка,арканзас,Осеола 	Osceola,_Arkansas
олтеница,румыния,город,Олтеница	Oltenița
оплетень,болгария,село,Оплетня	Opletnya
оттенхефен,германия,коммуна,шварцвальд,Оттенхёфен 	Ottenhöfen_im_Schwarzwald
оффенбах-хундхайм,германия,коммуна,Оффенбах-Хундхайм	Offenbach-Hundheim
орхид,соединять штат америка,флорида,Орхид 	Orchid,_Florida
ортигейр,испания,испания,Ортигейра 	Ortigueira
оушен-ридж,соединять штат америка,флорида,Оушен-Ридж 	Ocean_Ridge,_Florida
орлов-дол,болгария,село,Орлов-Дол	Orlov_dol
озеро,франция,коммуна,Озер	Auzers
обершать,германия,коммуна,Обершёна	Oberschöna
оберварт,австрия,округ,Оберварт 	Oberwart_District
орослань,венгрия,город,Орослань	Oroszlány
ольдерсбек,германия,коммуна,Ольдерсбек	Oldersbek
окар,пакистан,город,Окара 	Okara,_Pakistan
ортигос-де-пестаньо,испания,Ортигоса-де-Пестаньо	Ortigosa_de_Pestaño
онтангас,испания,Онтангас	Hontangas
орпи,испания,населённый пункт,Орпи	Orpí
остров зич,россия,Острова Зичи	Zichy_Land
отмон,франция,коммуна,город,Отмон 	Hautmont
оттенбах,германия,вюртемберг,община,Оттенбах 	Ottenbach,_Baden-Württemberg
олимпия,соединять штат америка,вашингтон,город,Олимпия 	Olympia,_Washington
орловский район,россия,орловский область,город,Орловский район 	Orlovsky_District,_Oryol_Oblast
оттерсхайм,германия,коммуна,Оттерсхайм	Ottersheim
ормилий,греция,город,Ормилия	Ormylia
онеонт,соединять штат америка,город,Онеонта	Oneonta,_New_York
обервайлер-тифенбах,германия,коммуна,Обервайлер-Тифенбах	Oberweiler-Tiefenbach
оссо-де-синка,испания,муниципалитет,Оссо-де-Синка	Osso_de_Cinca
отон,бельгия,бельгия,коммуна,Отон 	Hotton
османштедт,германия,коммуна,Османштедт	Oßmannstedt
отрепьер,франция,коммуна,Отрепьер	Autrepierre
ориньоль,франция,коммуна,Ориньоль	Orignolles
одавар,япония,город,Одавара	Odawara
оптевоз,франция,коммуна,Оптевоз	Optevoz
он,франция,жер,коммуна,Он 	Homps,_Gers
орозей,италия,коммуна,Орозеи	Orosei
ольховатский район,россия,Ольховатский район	Olkhovatsky_District
оэвиль,франция,коммуна,Оэвиль	Hoéville
от-санага,камерун,департамент,От-Санага 	Haute-Sanaga
ошогбо,нигерия,город,Ошогбо	Osogbo
оверенок,россия,посёлок,Оверята	Overyata
осташков,россия,город,Осташков	Ostashkov
о-ле-кромарь,франция,коммуна,О-ле-Кромари	Aulx-lès-Cromary
оруэсти,бразилия,муниципалитет,Оруэсти	Ouroeste
орьенталь,мексика,муниципалитет,Орьенталь 	Oriental_(municipality)
обершайдвайлер,германия,коммуна,Обершайдвайлер	Oberscheidweiler
ойшайд,германия,коммуна,Ойшайд	Euscheid
оштра-лук,босния и герцеговина,община,Оштра-Лука 	Oštra_Luka
осойци,босния и герцеговина,населенный пункт,Осойци	Osojci
обернберг-на-бреннер,австрия,коммуна,Обернберг-на-Бреннере	Obernberg_am_Brenner
ориндж-парк,соединять штат америка,флорида,Ориндж-Парк 	Orange_Park,_Florida
олесненский повенок,польша,Олесненский повят	Olesno_County
ольберсдорф,германия,коммуна,Ольберсдорф	Olbersdorf
оливетта-сан-микеле,италия,коммуна,Оливетта-Сан-Микеле	Olivetta_San_Michele
остервальд,германия,коммуна,Остервальд	Osterwald
олд-оттава-саут,канада,Олд-Оттава-Саут	Old_Ottawa_South
отаглый,азербайджан,Отаглы	Otaqlı
онвиль,франция,коммуна,Онвиль	Onville
обершютцен,австрия,коммуна,Обершютцен	Oberschützen
онтанарес-де-эресма,испания,Онтанарес-де-Эресма	Hontanares_de_Eresma
обер-хильберсхайм,германия,коммуна,Обер-Хильберсхайм	Ober-Hilbersheim
ореро,италия,коммуна,Ореро	Orero
орукун,австралия,графство,район,Орукун 	Shire_of_Aurukun
октябрьский район,россия,волгоградский область,Октябрьский район 	Oktyabrsky_District,_Volgograd_Oblast
оричевский район,россия,посёлок,Оричевский район	Orichevsky_District
орначуэлос,испания,населённый пункт,Орначуэлос	Hornachuelos
орадур-сюр-глан,франция,коммуна,Орадур-сюр-Глан	Oradour-sur-Glane_(commune)
овоштарци,болгария,село,Овоштарци	Ovoshtartsi
омервиль,франция,муниципалитет,Омервиль	Omerville
онис,испания,муниципалитет,Онис	Onís
остерхефер,германия,коммуна,Остерхефер	Osterhever
оберзюльцен,германия,коммуна,Оберзюльцен	Obersülzen
оберхельфеншвиль,швейцария,коммуна,Оберхельфеншвиль	Oberhelfenschwil
олула-де-кастро,испания,населённый пункт,Олула-де-Кастро	Olula_de_Castro
отмухув,польша,гмина,Отмухув 	Gmina_Otmuchów
оберальбена,германия,коммуна,Оберальбен	Oberalben
от-иль,франция,муниципалитет,От-Иль	Haute-Isle
ольхонский район,россия,село,Ольхонский район	Olkhonsky_District
обернцен,германия,коммуна,Обернцен	Obernzenn
олецкий повенок,польша,город,Олецкий повят	Olecko_County
осуиго,соединять штат америка,нью-йорк,Осуиго 	Oswego,_New_York
осюрюк,франция,коммуна,Осюрюк	Aussurucq
ошель,франция,франция,коммуна,Ошель 	Auchel
окрос,перо,провинция,Окрос 	Ocros_Province
олакур,франция,коммуна,Олакур	Holacourt
обервалльмен,германия,коммуна,Обервалльменах	Oberwallmenach
он,франция,коммуна,арденны,Он 	Osnes
олава,польша,город,Олава	Oława
оленица,россия,село,Оленица 	Olenitsa
остров бейнбридж,соединять штат америка,Остров Бейнбридж	Bainbridge_Island,_Washington
острув,польша,деревня,мышкувский повенок,Острув 	Ostrów,_Myszków_County
ока-ридж,соединять штат америка,город,Ок-Ридж	Oak_Ridge,_Tennessee
овьедо,испания,район,комарка,Овьедо 	Oviedo_(comarca)
отеро,соединять штат америка,округ,нью-мексико,Отеро 	Otero_County,_New_Mexico
оберкаппель,австрия,Оберкаппель	Oberkappel
орист,испания,Ориста	Oristà
оберталь,швейцария,коммуна,берн,Оберталь 	Oberthal,_Switzerland
окар,пакистан,округ,город,Окара 	Okara_District
обернхольц,германия,коммуна,Обернхольц	Obernholz
ортонвилл,соединять штат америка,город,миннесота,Ортонвилл 	Ortonville,_Minnesota
ордон,италия,коммуна,Ордона	Ordona
одзений,италия,коммуна,Одзенья	Ozegna
однадатт,австралия,город,Однадатта	Oodnadatta
онондаг,соединять штат америка,нью-йорк,округ,Онондага 	Onondaga_County,_New_York
оваджык,турция,город,Оваджык	Ovacık,_Dersim
ольшина,польша,город,Ольшина	Olszyna
ольстер,ирландия,Ольстер	Ulster
ольнон,франция,коммуна,Ольнон	Holnon
оронс,франция,коммуна,буш-дю-рон,Оронс 	Aurons
оннюд-ци,китайский народный республика,Оннюд-Ци	Ongniud_Banner
ороландий,бразилия,Ороландия	Ourolândia
осер-де-эбро,испания,Осера-де-Эбро	Osera_de_Ebro
оберхюниген,швейцария,коммуна,Оберхюниген	Oberhünigen
орвието,италия,город,Орвието	Orvieto
оряхово,болгария,город,Оряхово	Oryahovo
ольмо-аль-брембо,италия,коммуна,Ольмо-аль-Брембо	Olmo_al_Brembo
оннен,франция,коммуна,Оннен	Onnaing
ольюль,франция,коммуна,Ольюль	Ollioules
оберербах,германия,коммуна,монтабаур,Оберербах 	Obererbach,_Westerwaldkreis
озьель,франция,коммуна,Озьель	Auzielle
осечный,польша,великопольский воеводство,город,Осечна 	Osieczna
оконек,польша,Оконек	Okonek
обоянский район,россия,город,Обоянский район	Oboyansky_District
оппург,германия,коммуна,Оппург	Oppurg
онкал,испания,муниципалитет,Онкала	Oncala
ольвайлер,германия,коммуна,Ольвайлер	Ohlweiler
олье-д’агуа-ду-пиауи,бразилия,муниципалитет,Олью-д’Агуа-ду-Пиауи	Olho_d'Água_do_Piauí
охус,швеция,город,Охус	Åhus
орешарь,болгария,село,Орешари	Oreshari
оссо-де-сио,испания,Оссо-де-Сио	Ossó_de_Sió
оо,франция,коммуна,Оо 	Oô
орли,франция,франция,коммуна,Орли 	Orly
ошкош,соединять штат америка,Ошкош	Oshkosh,_Wisconsin
околиит,болгария,село,Околиите	Okoliyte
оля-куртиль,франция,коммуна,Оли-Куртиль	Osly-Courtil
омер,израиль,населенный пункт,Омер 	Omer,_Israel
ольялва,португалия,Ольялву	Olhalvo
ортегаль,испания,район,комарка,Ортегаль 	Ortegal
одерн,польша,деревня,Одерне	Oderne
оричевский район,россия,Оричевский район	Orichevsky_District
окичоби,соединять штат америка,округ,флорида,Окичоби 	Okeechobee_County,_Florida
они,швейцария,коммуна,женева,Оне 	Onex,_Switzerland
оборник,польша,Оборники	Oborniki
осен,франция,коммуна,Осён	Ossun
опатув,польша,гмина,опатувский повенок,Опатув 	Gmina_Opatów,_Świętokrzyskie_Voivodeship
ота,португалия,район,аленкер,Ота 	Ota_(Alenquer)
отрикур,франция,коммуна,Отрикур	Autricourt
остзан,нидерланды,община,Остзан	Oostzaan
о-барко-де-вальдеоррас,испания,О-Барко-де-Вальдеоррас	O_Barco_de_Valdeorras
огема,соединять штат америка,город,миннесота,Огема 	Ogema,_Minnesota
обермумпф,швейцария,коммуна,Обермумпф	Obermumpf
одрюик,франция,коммуна,Одрюик	Audruicq
октябрьский район,россия,район,пермский край,Октябрьский район 	Oktyabrsky_District,_Perm_Krai
особница,польша,село,Особница	Osobnica
оргас,испания,муниципалитет,Оргас	Orgaz
онежский район,россия,город,Онежский район	Onezhsky_District
онкан,великобритания,посёлок,Онкан	Onchan
отеро-де-бодас,испания,Отеро-де-Бодас	Otero_de_Bodas
ольховский район,россия,Ольховский район	Olkhovsky_District
орландо,соединять штат америка,флорида,Орландо 	Orlando,_Florida
оберлиенц,австрия,коммуна,Оберлиенц	Oberlienz
опатув,польша,Опатув	Opatów
обермошель,германия,город,Обермошель	Obermoschel
оберморшвир,франция,коммуна,Оберморшвир	Obermorschwihr
олот,испания,Олот	Olot
олта,турция,город,Олту	Oltu
отрикалывать,италия,коммуна,Отриколи	Otricoli
одровонж,польша,малопольский воеводство,Одровонж 	Odrowąż,_Lesser_Poland_Voivodeship
оберванг,австрия,коммуна,Оберванг	Oberwang
оборишта,болгария,село,пазарджикский область,Обориште 	Oborishte
обривать,франция,коммуна,Обрив	Aubrives
острандер,соединять штат америка,город,миннесота,Острандер 	Ostrander,_Minnesota
островной,россия,село,Островной	Ostrovnoy,_Murmansk_Oblast
осеол,соединять штат америка,округ,айова,Осеола 	Osceola_County,_Iowa
очаковский район,украина,Очаковский район	Ochakiv_Raion
оберхаузен,германия,пайсенберг,коммуна,Оберхаузен 	Oberhausen,_Weilheim-Schongau
оберирзен,германия,коммуна,Оберирзен	Oberirsen
остерхофен,германия,город,Остерхофен	Osterhofen
отрекур-э-пуррон,франция,коммуна,Отрекур-э-Пуррон	Autrecourt-et-Pourron
оушенсайд,соединять штат америка,калифорния,Оушенсайд 	Oceanside,_California
онтанар,испания,Онтанар	Hontanar
ош,франция,коммуна,Оше	Ochey
оберросбах,германия,коммуна,Оберросбах	Oberroßbach
они,франция,верхний сона,коммуна,Оне 	Onay
остервиц,австрия,коммуна,Остервиц	Osterwitz
отегно-батыр,казахстан,посёлок,Отеген-Батыр	Otegen_Batyr
они-ле-шато,франция,коммуна,Оне-ле-Шато	Onet-le-Château
ошторинан,иран,Ошторинан	Oshtorinan
оснабрюк,германия,город,Оснабрюк	Osnabrück
октябрьск,россия,самарский область,город,Октябрьск 	Oktyabrsk
обердорф-ама-хохег,австрия,коммуна,Обердорф-ам-Хохег	Oberdorf_am_Hochegg
оруро,боливия,столица,Оруро	Oruro,_Bolivia
обербодница,германия,коммуна,Обербодниц	Oberbodnitz
оканоган,соединять штат америка,вашингтон,округ,Оканоган 	Okanogan_County,_Washington
озуэстереть,великобритания,город,Озуэстри	Oswestry
окно-муреш,румыния,город,Окна-Муреш	Ocna_Mureș
обуховый,россия,посёлок,поселок городской тип,Обухово 	Obukhovo,_Noginsky_District,_Moscow_Oblast
обь,россия,город,Обь 	Ob,_Russia
оканье,колумбия,колумбия,город,Оканья 	Ocaña,_Norte_de_Santander
ольштадт,германия,коммуна,Ольштадт	Ohlstadt
обривать-ан-руаян,франция,коммуна,Обрив-ан-Руаян	Auberives-en-Royans
остоичев,сербия,село,Остоичево	Ostojićevo
ольмето,франция,коммуна,Ольмето	Olmeto
оберндорф,германия,ост,коммуна,Оберндорф 	Oberndorf,_Lower_Saxony
огняново,болгария,село,благоевградский область,Огняново 	Ognyanovo,_Blagoevgrad_Province
орбек,франция,коммуна,Орбек	Orbec
опочненский повенок,польша,город,Опочненский повят	Opoczno_County
отоинеппа,япония,село,Отоинеппу	Otoineppu,_Hokkaido
олбануть,соединять штат америка,город,джорджия,Олбани 	Albany,_Georgia
олле,франция,мерт  мозель,коммуна,Олле 	Olley
оравица,румыния,город,Оравица 	Oravița
охленберг,швейцария,коммуна,Охленберг	Ochlenberg
ожер,франция,коммуна,Ожер	Augères
обвуа,франция,коммуна,Обвуа	Aubevoye
омутинский район,россия,Омутинский район	Omutinsky_District
овильо,италия,коммуна,Овильо	Oviglio
одиенна,кот-д’ивуар,город,Одиенне	Odienné
облученский район,россия,город,Облученский район	Obluchensky_District
отвиль-лонес,франция,коммуна,Отвиль-Лонес	Hauteville-Lompnes
